Number of Clusters,No PCA,"PCA 0.9 exp_var, 5 cpts","PCA 0.8 exp_var, 4 cpts","PCA 0.5 exp_var, 2 cpts","PCA 0.4 exp_var, 1 cpts"
4,279.0669319354404,210.32641555110476,155.5976795117141,46.05274371700334,24.321756421926132
5,240.02728894046177,179.35805850048985,124.33765117083664,32.534507257601305,15.229944541335307
6,205.89315316963018,150.79031176460427,106.1626293225396,25.734808061329428,9.29190709657557
7,172.38356042639612,132.12875595451223,85.70202962871936,21.22138996492288,7.6195220662261525
8,158.26004191100066,119.13258883338723,72.22943157279002,17.35372709224311,6.163990430921064
9,135.94084352117414,101.00117702351312,61.89393911212701,15.567822874967437,4.715244114732059
10,125.33594947360291,87.95577909085927,51.92707591136509,13.71974881227739,3.575619917980892
