Number of Clusters,No PCA,"PCA 0.9 exp_var, 8 cpts","PCA 0.8 exp_var, 7 cpts","PCA 0.5 exp_var, 4 cpts","PCA 0.4 exp_var, 3 cpts"
4,834.7650006057606,704.2833639355073,638.5062752194385,275.5074632575398,175.246182845142
5,690.3925877960352,568.2255439052809,514.2607192400612,162.26005973990596,120.96756201132666
6,563.9104121613053,439.1235840361171,383.7686084477504,141.83500994585054,98.0650746096842
7,432.94175691330673,309.20414346864834,257.13266799671226,118.34707641410421,78.54016521738617
8,308.0566244077044,187.51357801838216,135.83118055520097,96.85445697060742,62.61510327064307
9,264.5311191926933,158.93988639371253,113.76177358021195,88.7140403578879,56.387310624058884
10,232.2570539634867,134.23196956347638,95.55514230537545,78.10353245024861,49.74961312032008
