Number of Clusters,No PCA,"PCA 0.9 exp_var, 9 cpts","PCA 0.8 exp_var, 8 cpts","PCA 0.5 exp_var, 4 cpts","PCA 0.4 exp_var, 3 cpts"
4,7643.936068749306,6648.2185061052805,6065.71483908178,2577.465356406047,1561.1207668471918
5,6704.91724385865,5776.611100802613,5187.889390317134,1969.0078269788987,1331.547158732424
6,5933.612273501759,5059.9568989907775,4504.264426631368,1672.6236866662698,1141.520910360598
7,5510.442274125202,4372.73213326978,3870.5735346304373,1535.0508717421067,987.8216925298162
8,4683.257756243156,3901.1500333092795,3466.102064138496,1350.3676920141254,867.3496627305337
9,4088.8948489036356,3374.706891014761,2917.850365679753,1218.1025493209422,779.1216875302337
10,3684.425078459608,2963.5352685998205,2693.046917347957,1112.5733063305495,711.9426385473412
